target,type,note,MHS,RSquared,AdjustedRSquared
PDR,train,remove none,0.97408924744667,0.87587302321449,0.875665730334087
PDR,test,remove none,0.965430704029009,0.945065867010564,0.94497412664151
PBR,train,remove none,0.962082032667433,0.666733081536931,0.666176523556866
PBR,test,remove none,0.954319731792228,0.697560981576244,0.697055906395175
total,train,remove none,0.986880121353413,0.93404512651885,0.933934981439556
total,test,remove none,0.981932157954984,0.955945294943168,0.955871723291436
total,train,add PDR, PBR,0.987277839036426,0.941665781641171,0.941568363106838
total,test,add PDR, PBR,0.981269124164863,0.962493700580096,0.962431064809522
