target,TrainingPercent,folds,trainMHS,testMHS,calibrationMHS,AdjustedRSquared
PDR,0.9,5,0.962815465515726,0.960458717410688,0.959841026640546,0.793962263905987
PBR,0.9,5,0.891578853382592,0.893592687039042,0.889327551370112,0.274278246494926
total,0.9,5,0.979625295762114,0.978310058488081,0.978698472505407,0.957313409233215
PDR,0.9,10,0.961667406157637,0.958694201220544,0.958754258898412,0.79333427413982
PBR,0.9,10,0.893351960037583,0.891049389200609,0.887132476548744,0.261658698422627
total,0.9,10,0.978313294835153,0.977448938473101,0.977250782171188,0.941899490921853
