target,TrainingPercent,folds,trainMHS,testMHS,calibrationMHS,AdjustedRSquared
PDR,0.9,5,0.973064985795549,0.968342375727064,0.964752954477074,0.880073619514092
PBR,0.9,5,0.963040313476212,0.95625508245602,0.955056280453962,0.635792910640848
total,0.9,5,0.98676943115602,0.981391111422072,0.978465239757863,0.953030819371462
PDR,0.9,10,0.97611575333401,0.967188821870971,0.963831531578591,0.834585067536515
PBR,0.9,10,0.967286975793131,0.954818707143523,0.953986534198655,0.684124811451263
total,0.9,10,0.987566322439718,0.980968938512902,0.980624106529588,0.941053129089089
